Policy_ID,Applicant_ID,Coverage_Amount,Decision,Property_Type,Application_Date
POL-200050,TG-106010,23540.0,Pending, apartment ,2023-04-05
POL-200051,TG-105590,24332.0,Pending,Townhouse,2024-01-25
POL-200052,TG-105148,12014.0,Pending,Condo,2023-04-10
POL-200053,TG-101274,22064.0,Pending, apartment ,2024-01-03
POL-200054,TG-108370,19157.0,Pending,Condo,2025-05-17
POL-200055,TG-109478,24405.0,Approved, apartment ,2023-12-19
POL-200056,TG-106161,20534.0,Pending, apartment ,2024-09-10
POL-200057,TG-101747,9700.0, approved ,Condo,2023-09-28
POL-200058,TG-104958,9292.0,Pending,Apartment,2025-04-06
POL-200059,TG-102835,24295.0,Denied,Apartment,2023-02-14
POL-200060,TG-101470,5154.0, approved ,Condo,2025-01-17
POL-200061,TG-108917,11752.0, approved , apartment ,2024-04-15
POL-200062,TG-107993,20055.0, approved , apartment ,2024-07-03
POL-200063,TG-101838,20814.0,Approved, apartment ,2023-05-08
POL-200064,TG-100437,14329.0,Approved,Condo,2024-01-23
POL-200065,TG-106824,24962.0,Pending,Condo,2023-03-22
POL-200066,TG-107180,10078.0, approved ,Condo,2024-07-19
POL-200067,TG-109482,20336.0,Approved,Townhouse,2023-10-28
POL-200068,TG-110010,17495.0, approved ,Apartment,2025-04-29
POL-200069,TG-108665,6255.0,Denied, apartment ,2024-10-05
POL-200070,TG-108494,9067.0, approved ,Townhouse,2024-09-25
POL-200071,TG-104443,10679.0,Pending, apartment ,2025-06-01
POL-200072,TG-100641,7851.0,Denied,Townhouse,2024-01-06
POL-200073,TG-103595,24501.0, approved ,Apartment,2024-08-14
POL-200074,TG-107881,9414.0,Pending, apartment ,2023-07-16
POL-200075,TG-108975,15401.0,Pending,Apartment,2024-12-22
POL-200076,TG-105792,12505.0,Approved, apartment ,2023-03-13
POL-200077,TG-101985,18268.0,Denied,Condo,2023-02-16
POL-200078,TG-109966,19901.0,Approved, apartment ,2024-11-08
POL-200079,TG-103917,15192.0,Approved,Condo,2023-08-22
POL-200080,TG-107530,14149.0,Pending, apartment ,2025-03-02
POL-200081,TG-109718,7929.0, approved , apartment ,2023-10-24
POL-200082,TG-102299,5786.0, approved ,Condo,2023-03-23
POL-200083,TG-106650,14427.0,Denied,Townhouse,2025-05-25
POL-200084,TG-107264,8484.0,Denied,Condo,2023-08-27
POL-200085,TG-101199,23554.0,Denied,Townhouse,2025-06-06
POL-200086,TG-100998,5282.0,Approved,Apartment,2023-04-14
POL-200087,TG-101434,13209.0, approved ,Apartment,2024-01-25
POL-200088,,17891.0,Denied,Apartment,2023-10-12
POL-200089,TG-106329,7568.0, approved , apartment ,2024-04-09
POL-200090,TG-109595,9952.0, approved ,Townhouse,2024-10-12
POL-200091,TG-109564,19322.0,Denied,Condo,2025-05-04
POL-200092,TG-107568,6383.0,Pending,Townhouse,2024-01-09
POL-200093,TG-103473,10722.0,Denied,Apartment,2023-06-16
POL-200094,TG-107158,17927.0, approved ,Condo,2024-01-15
POL-200095,TG-104539,9932.0, approved ,Apartment,2023-12-30
POL-200096,TG-100909,14974.0,Denied, apartment ,2023-08-03
POL-200097,TG-102393,8617.0,Pending, apartment ,2024-11-17
POL-200098,TG-101285,14511.0, approved , apartment ,2023-10-01
POL-200099,TG-100399,15965.0, approved ,Townhouse,2024-12-19
POL-200100,TG-106570,6181.0,Pending, apartment ,2024-11-30
POL-200101,TG-109390,14515.0,Denied,Townhouse,2024-10-25
POL-200102,TG-102634,24999.0,Pending,Townhouse,2023-03-15
POL-200103,TG-105418,15532.0, approved ,Apartment,2024-09-15
POL-200104,TG-105727,6245.0,Denied,Townhouse,2024-10-12
POL-200105,,22981.0,Approved,Apartment,2023-06-25
POL-200106,TG-107764,21799.0,Approved,Condo,2024-06-30
POL-200107,TG-100173,5187.0,Pending,Townhouse,2025-01-16
POL-200108,TG-103312,10540.0,Pending,Apartment,2023-09-08
POL-200109,TG-104190,11919.0,Pending,Condo,2023-06-17
POL-200110,TG-101152,15328.0,Pending,Townhouse,2024-04-18
POL-200111,TG-108461,9139.0,Denied, apartment ,2024-01-24
POL-200112,TG-101983,23550.0,Denied,Condo,2023-10-04
POL-200113,TG-100636,12521.0, approved ,Townhouse,2024-10-17
POL-200114,TG-105725,15104.0, approved ,Townhouse,2024-12-05
POL-200115,TG-103284,22770.0, approved ,Townhouse,2024-07-24
POL-200116,TG-108789,10726.0, approved ,Apartment,2023-08-13
POL-200117,TG-100187,9288.0,Denied,Apartment,2024-12-02
POL-200118,TG-101182,17485.0,Pending,Condo,2023-11-29
POL-200119,TG-104397,15300.0, approved ,Condo,2025-05-13
POL-200120,TG-103202,18894.0,Approved,Townhouse,2025-02-25
POL-200121,TG-100819,19240.0,Denied,Condo,2025-03-05
POL-200122,TG-100095,10845.0,Approved,Townhouse,2023-02-27
POL-200123,TG-104491,7636.0,Denied,Condo,2023-08-23
POL-200124,TG-107929,15929.0,Denied,Apartment,2025-04-21
POL-200125,TG-102195,20654.0,Pending,Townhouse,2023-02-02
POL-200126,TG-109622,18021.0,Pending,Condo,2025-04-04
POL-200127,TG-109743,7679.0, approved ,Apartment,2023-11-20
POL-200128,TG-105731,19309.0, approved ,Condo,2024-02-15
POL-200129,TG-100055,23298.0,Approved,Condo,2023-10-02
POL-200130,TG-102984,8377.0,Approved,Townhouse,2023-03-09
POL-200131,TG-105476,17446.0, approved ,Townhouse,2023-08-05
POL-200132,TG-109041,15106.0, approved ,Townhouse,2024-08-03
POL-200133,TG-102037,15730.0,Pending,Condo,2025-06-16
POL-200134,TG-101351,9577.0, approved ,Condo,2025-01-05
POL-200135,TG-105207,24132.0,Pending,Townhouse,2023-11-19
POL-200136,TG-102185,20440.0, approved ,Condo,2023-08-06
POL-200137,TG-106374,14729.0,Approved,Apartment,2024-11-02
POL-200138,TG-107931,21729.0,Pending,Townhouse,2024-05-26
POL-200139,TG-101001,8835.0,Denied,Condo,2024-02-10
POL-200140,TG-106127,9205.0, approved ,Condo,2024-10-20
POL-200141,TG-100578,10893.0,Denied, apartment ,2024-04-14
POL-200142,TG-104250,21530.0,Pending,Apartment,2023-05-27
POL-200143,TG-101559,15131.0,Pending,Townhouse,2023-09-29
POL-200144,TG-108510,21456.0,Approved,Condo,2023-05-23
POL-200145,TG-107175,7461.0, approved ,Townhouse,2023-09-10
POL-200146,TG-107598,8225.0,Pending, apartment ,2025-02-01
POL-200147,TG-107952,7621.0,Pending,Apartment,2024-07-28
POL-200148,TG-107200,10729.0, approved ,Apartment,2024-07-05
POL-200149,TG-103439,12530.0, approved ,Apartment,2023-09-27
POL-200150,TG-107908,22356.0,Denied,Condo,2025-02-03
POL-200151,TG-109689,23648.0,Pending,Condo,2024-08-21
POL-200152,TG-108242,16741.0,Pending,Condo,2024-03-14
POL-200153,TG-100992,9815.0,Denied,Apartment,2024-08-20
POL-200154,TG-103697,21575.0,Pending,Apartment,2024-02-13
POL-200155,TG-106812,16174.0,Approved,Condo,2024-01-06
POL-200156,TG-107629,10357.0,Pending,Condo,2023-08-13
POL-200157,TG-104490,10673.0,Approved,Townhouse,2023-05-22
POL-200158,TG-105255,9510.0,Denied, apartment ,2024-06-05
POL-200159,TG-109984,7694.0,Denied,Apartment,2024-05-20
POL-200160,TG-101230,, approved ,Townhouse,2023-04-04
POL-200161,TG-107344,20657.0, approved ,Condo,2025-02-12
POL-200162,TG-102835,23875.0,Denied, apartment ,2023-02-18
POL-200163,TG-108238,21231.0, approved ,Condo,2025-05-31
POL-200164,TG-102325,11157.0,Pending,Apartment,2023-04-23
POL-200165,TG-105605,6606.0,Denied,Apartment,2023-06-06
POL-200166,TG-101494,24405.0,Pending, apartment ,2024-10-04
POL-200167,TG-105141,14846.0,Approved,Townhouse,2023-06-13
POL-200168,TG-103266,17235.0,Pending, apartment ,2025-03-22
POL-200169,TG-105757,14632.0, approved ,Townhouse,2024-11-27
POL-200170,TG-104430,14672.0,Pending,Townhouse,2024-03-08
POL-200171,TG-107409,10133.0,Pending,Apartment,2024-09-02
POL-200172,TG-101100,6809.0,Denied,Condo,2023-03-07
POL-200173,TG-107246,21849.0,Pending,Apartment,2024-01-30
POL-200174,TG-107479,21817.0,Pending,Condo,2024-01-26
POL-200175,TG-104117,22642.0,Denied,Apartment,2024-09-02
POL-200176,TG-105835,7154.0, approved ,Apartment,2024-04-24
POL-200177,TG-102671,,Approved,Condo,2024-06-25
POL-200178,TG-102128,22376.0,Approved,Apartment,2023-09-15
POL-200179,TG-108063,22065.0, approved ,Apartment,2024-07-20
POL-200180,TG-106009,24232.0,Pending,Apartment,2025-05-31
POL-200181,TG-105087,19090.0, approved , apartment ,2023-01-12
POL-200182,TG-105548,20097.0, approved ,Townhouse,2024-11-27
POL-200183,TG-102097,17608.0,Approved,Townhouse,2025-01-08
POL-200184,TG-105449,12494.0,Approved,Apartment,2023-04-28
POL-200185,TG-109964,18447.0,Pending,Townhouse,2024-11-29
POL-200186,TG-103754,13511.0, approved ,Townhouse,2024-07-03
POL-200187,TG-106033,10319.0,Approved,Apartment,2025-02-07
POL-200188,TG-108184,18346.0,Approved,Condo,2023-10-01
POL-200189,TG-107336,18683.0,Denied,Condo,2025-02-26
POL-200190,TG-100978,8218.0,Denied, apartment ,2024-10-18
POL-200191,TG-107786,24674.0,Pending, apartment ,2023-12-15
POL-200192,TG-100090,23215.0, approved , apartment ,2023-04-25
POL-200193,TG-100529,8194.0,Denied,Apartment,2023-10-28
POL-200194,TG-102925,13703.0,Pending,Condo,2024-03-21
POL-200195,TG-100861,14645.0,Approved,Condo,2023-06-11
POL-200196,TG-107866,5851.0,Approved, apartment ,2024-04-09
POL-200197,TG-101176,9264.0,Denied,Townhouse,2023-01-04
POL-200198,TG-108832,9750.0,Denied,Condo,2025-01-09
POL-200199,TG-107889,9403.0, approved ,Condo,2025-06-15
POL-200200,TG-101485,10955.0,Approved,Townhouse,2025-01-06
POL-200201,TG-106796,17161.0,Approved,Condo,2023-09-27
POL-200202,TG-104440,6938.0,Approved, apartment ,2024-05-27
POL-200203,TG-100319,24637.0,Approved,Condo,2025-02-19
POL-200204,TG-101085,17875.0,Approved,Condo,2023-07-02
POL-200205,TG-104469,10965.0, approved , apartment ,2024-06-03
POL-200206,TG-109524,11547.0, approved ,Apartment,2023-04-19
POL-200207,TG-109073,14460.0,Pending,Apartment,2025-06-10
POL-200208,TG-106146,24723.0,Approved,Apartment,2024-10-02
POL-200209,TG-106684,6606.0,Denied,Condo,2023-11-02
POL-200210,TG-105510,22175.0,Approved,Apartment,2025-05-11
POL-200211,TG-101972,20093.0,Denied,Apartment,2024-10-16
POL-200212,TG-106740,13072.0, approved ,Apartment,2024-06-03
POL-200213,TG-101261,7809.0, approved ,Townhouse,2024-09-15
POL-200214,TG-100682,15539.0,Pending,Townhouse,2023-07-23
POL-200215,TG-105901,20292.0,Denied,Condo,2023-06-06
POL-200216,TG-104375,6230.0,Pending, apartment ,2024-01-18
POL-200217,TG-101245,12239.0,Pending, apartment ,2025-02-19
POL-200218,TG-100247,17876.0, approved , apartment ,2023-06-15
POL-200219,TG-100853,12761.0,Pending,Apartment,2024-07-06
POL-200220,TG-101597,9118.0,Approved,Apartment,2025-03-08
POL-200221,TG-104554,12278.0,Approved,Apartment,2024-06-27
POL-200222,TG-100462,18208.0,Approved,Apartment,2023-01-01
POL-200223,TG-109585,17465.0,Approved,Townhouse,2024-09-05
POL-200224,TG-104463,16082.0,Pending,Townhouse,2023-11-28
POL-200225,TG-102040,24673.0,Approved,Townhouse,2024-05-15
POL-200226,TG-102061,11453.0,Pending,Condo,2023-01-20
POL-200227,TG-100607,12154.0,Denied, apartment ,2023-04-25
POL-200228,TG-106717,13881.0,Approved, apartment ,2024-01-07
POL-200229,TG-108148,21336.0,Denied,Townhouse,2025-06-18
POL-200230,TG-101028,23356.0,Pending,Condo,2025-05-01
POL-200231,TG-109134,15656.0,Approved,Apartment,2025-04-06
POL-200232,TG-108084,21758.0,Approved,Condo,2023-11-11
POL-200233,TG-107832,17946.0,Denied,Condo,2023-09-03
POL-200234,TG-102014,20536.0,Pending,Condo,2023-03-01
POL-200235,TG-106218,13243.0,Pending, apartment ,2023-09-04
POL-200236,TG-107735,13636.0,Pending, apartment ,2025-06-18
POL-200237,TG-101468,14060.0,Denied,Condo,2024-08-03
POL-200238,TG-107711,6111.0,Denied,Townhouse,2023-03-22
POL-200239,TG-101223,19938.0,Pending,Townhouse,2023-03-29
POL-200240,TG-108577,20708.0,Approved, apartment ,2025-01-19
POL-200241,TG-100296,6940.0,Approved,Townhouse,2024-05-12
POL-200242,TG-105516,16995.0,Pending, apartment ,2025-04-15
POL-200243,TG-102526,18534.0,Denied, apartment ,2023-03-12
POL-200244,TG-107645,9576.0,Pending,Condo,2025-02-17
POL-200245,TG-108069,23867.0,Denied,Apartment,2024-06-29
POL-200246,TG-102195,14970.0,Pending,Apartment,2025-02-23
POL-200247,TG-107954,8863.0, approved ,Condo,2023-05-09
POL-200248,TG-107509,6446.0,Pending, apartment ,2023-05-12
POL-200249,TG-102699,13348.0,Pending,Apartment,2024-11-06
POL-200250,TG-106658,7953.0, approved ,Apartment,2024-05-01
POL-200251,TG-104724,19736.0,Approved,Apartment,2024-07-16
POL-200252,TG-104484,6440.0,Approved, apartment ,2023-06-19
POL-200253,TG-103498,6066.0,Denied,Townhouse,2023-09-29
POL-200254,TG-108653,, approved ,Townhouse,2024-06-24
POL-200255,TG-107732,19724.0,Denied,Townhouse,2025-06-12
POL-200256,TG-109712,14830.0,Denied,Condo,2024-09-13
POL-200257,TG-102214,7349.0,Approved,Condo,2024-03-09
POL-200258,TG-102850,,Approved,Townhouse,2023-08-05
POL-200259,TG-103277,22792.0,Approved,Townhouse,2024-07-06
POL-200260,TG-100784,17605.0, approved , apartment ,2025-02-12
POL-200261,TG-106086,5276.0,Denied,Apartment,2025-01-17
POL-200262,TG-101811,18204.0,Approved, apartment ,2024-12-07
POL-200263,TG-108737,21910.0,Denied,Condo,2023-07-25
POL-200264,TG-100637,22457.0,Approved,Townhouse,2024-12-31
POL-200265,TG-103357,19900.0,Pending,Condo,2023-11-16
POL-200266,TG-100625,11288.0,Pending, apartment ,2024-02-13
POL-200267,TG-104903,10496.0,Pending,Condo,2024-11-18
POL-200268,TG-102444,16518.0,Pending, apartment ,2024-10-27
POL-200269,TG-100901,12785.0,Denied, apartment ,2024-01-18
POL-200270,TG-100823,17345.0,Denied,Condo,2024-03-24
POL-200271,TG-106518,6317.0, approved , apartment ,2024-06-13
POL-200272,TG-106514,15431.0,Approved,Townhouse,2024-04-07
POL-200273,TG-108696,20823.0,Approved,Townhouse,2023-05-04
POL-200274,TG-101114,9781.0,Denied, apartment ,2023-09-11
POL-200275,TG-100636,9651.0, approved ,Townhouse,2023-08-19
POL-200276,TG-109303,20911.0, approved ,Apartment,2023-03-07
POL-200277,TG-108550,7430.0,Pending,Apartment,2023-12-13
POL-200278,TG-103353,23909.0, approved , apartment ,2023-01-22
POL-200279,TG-107329,14429.0,Pending,Apartment,2024-08-25
POL-200280,TG-105524,10463.0,Denied,Apartment,2024-07-21
POL-200281,TG-105380,6234.0, approved ,Apartment,2023-08-24
POL-200282,TG-100849,16247.0,Denied,Condo,2024-08-25
POL-200283,TG-109991,8213.0, approved , apartment ,2023-08-14
POL-200284,TG-103818,10380.0,Pending,Townhouse,2023-01-08
POL-200285,TG-109377,12891.0,Pending,Townhouse,2023-03-14
POL-200286,TG-100566,7430.0, approved ,Apartment,2024-12-25
POL-200287,TG-108008,13144.0,Denied,Apartment,2024-10-08
POL-200288,TG-108502,21451.0, approved ,Apartment,2023-03-02
POL-200289,TG-104506,21708.0, approved ,Townhouse,2023-08-23
POL-200290,TG-103194,12490.0,Pending,Condo,2023-03-11
POL-200291,TG-104429,18404.0,Denied,Townhouse,2023-02-02
POL-200292,TG-103955,18605.0, approved ,Apartment,2025-05-30
POL-200293,TG-103411,10423.0,Pending,Townhouse,2023-12-05
POL-200294,TG-104136,14245.0,Denied,Condo,2023-03-14
POL-200295,TG-100966,23277.0,Approved,Condo,2024-06-10
POL-200296,TG-101751,5405.0,Approved,Apartment,2023-09-01
POL-200297,TG-104836,18993.0, approved ,Apartment,2023-10-13
POL-200298,TG-107363,8657.0,Pending,Apartment,2024-11-16
POL-200299,TG-109662,8223.0,Approved,Condo,2024-05-12
POL-200300,TG-101731,14584.0, approved ,Apartment,2023-08-08
POL-200301,TG-107350,24206.0,Pending, apartment ,2024-07-06
POL-200302,TG-108368,13862.0, approved , apartment ,2023-05-16
POL-200303,TG-105968,21826.0, approved ,Condo,2025-01-10
POL-200304,TG-101258,12335.0, approved , apartment ,2024-08-07
POL-200305,TG-107936,17517.0,Pending,Condo,2024-08-13
POL-200306,TG-103356,9184.0,Denied,Condo,2024-04-29
POL-200307,TG-108793,18147.0, approved , apartment ,2023-09-06
POL-200308,TG-107495,16024.0,Pending,Condo,2025-03-14
POL-200309,TG-103122,5455.0,Approved,Apartment,2024-04-29
POL-200310,TG-105597,6795.0,Approved,Townhouse,2025-04-06
POL-200311,TG-101309,19163.0,Denied,Townhouse,2024-02-21
POL-200312,TG-105298,7344.0,Denied,Apartment,2023-07-14
POL-200313,TG-104227,7160.0,Denied,Apartment,2023-04-07
POL-200314,TG-108791,19235.0, approved , apartment ,2023-04-10
POL-200315,TG-107897,18857.0,Approved,Condo,2024-11-05
POL-200316,TG-102247,19663.0,Pending, apartment ,2024-03-17
POL-200317,TG-100606,7819.0, approved ,Apartment,2023-12-29
POL-200318,TG-106737,20761.0,Approved,Condo,2024-03-09
POL-200319,TG-100673,8739.0,Approved,Apartment,2024-02-25
POL-200320,TG-105434,19831.0,Denied,Condo,2024-04-23
POL-200321,TG-107156,17657.0, approved ,Apartment,2025-06-03
POL-200322,TG-110016,15308.0,Pending,Condo,2025-01-16
POL-200323,TG-102120,19712.0,Denied,Condo,2023-02-25
POL-200324,TG-100851,7211.0,Approved, apartment ,2024-11-20
POL-200325,TG-100807,21093.0,Approved,Townhouse,2024-10-31
POL-200326,TG-100942,8123.0, approved , apartment ,2024-10-23
POL-200327,TG-107169,8878.0,Pending, apartment ,2023-04-11
POL-200328,TG-101642,13813.0, approved ,Condo,2023-03-04
POL-200329,TG-106493,16405.0,Pending,Apartment,2024-02-17
POL-200330,TG-103625,17656.0,Pending,Apartment,2025-01-15
POL-200331,TG-104210,22146.0,Approved,Townhouse,2023-12-14
POL-200332,TG-108562,15225.0,Approved,Apartment,2025-03-30
POL-200333,TG-108208,10243.0,Denied,Condo,2025-06-01
POL-200334,TG-106432,5783.0,Pending,Townhouse,2023-04-22
POL-200335,TG-103402,, approved ,Condo,2023-09-12
POL-200336,TG-103575,18481.0,Approved, apartment ,2023-07-16
POL-200337,TG-106127,, approved , apartment ,2023-07-14
POL-200338,TG-100228,22893.0,Pending,Apartment,2024-07-03
POL-200339,TG-102823,16314.0, approved ,Townhouse,2024-04-04
POL-200340,TG-109347,20837.0, approved ,Condo,2023-05-24
POL-200341,TG-100486,23238.0,Pending, apartment ,2024-03-08
POL-200342,TG-102665,9310.0,Denied,Townhouse,2023-07-07
POL-200343,TG-108190,22537.0, approved , apartment ,2023-10-13
POL-200344,TG-100138,5061.0,Denied,Condo,2024-04-18
POL-200345,TG-104244,18869.0,Pending,Condo,2023-09-13
POL-200346,TG-101262,13299.0, approved , apartment ,2025-06-14
POL-200347,TG-107436,7637.0,Denied,Townhouse,2023-03-19
POL-200348,TG-101310,19890.0,Approved,Condo,2024-03-29
POL-200349,TG-101972,21768.0,Pending,Condo,2025-04-07
POL-200350,TG-107555,20643.0,Approved,Apartment,2025-06-01
POL-200351,TG-108446,24778.0,Approved, apartment ,2025-05-26
POL-200352,TG-102930,15227.0,Approved,Condo,2024-07-17
POL-200353,TG-102151,5701.0,Approved,Townhouse,2023-04-11
POL-200354,TG-105109,6031.0,Denied,Apartment,2023-02-21
POL-200355,TG-101501,15854.0,Pending,Townhouse,2024-10-29
POL-200356,TG-106991,21893.0,Pending,Apartment,2024-07-07
POL-200357,TG-103011,13147.0,Pending, apartment ,2025-05-06
POL-200358,TG-109715,20419.0,Denied,Condo,2023-01-16
POL-200359,TG-101880,14072.0,Denied, apartment ,2023-04-06
POL-200360,TG-101574,16703.0,Approved,Townhouse,2025-02-10
POL-200361,TG-106828,12211.0,Approved,Apartment,2025-05-19
POL-200362,TG-103375,20024.0, approved , apartment ,2023-08-31
POL-200363,TG-100318,19165.0,Pending, apartment ,2023-06-20
POL-200364,TG-100534,6902.0, approved ,Apartment,2024-02-21
POL-200365,TG-104461,12650.0,Denied,Townhouse,2024-05-12
POL-200366,TG-103074,12599.0, approved , apartment ,2024-05-07
POL-200367,TG-109479,19181.0,Approved,Apartment,2023-08-07
POL-200368,TG-104314,22101.0,Denied,Apartment,2025-06-04
POL-200369,TG-102595,16542.0,Denied,Townhouse,2024-02-15
POL-200370,TG-103895,17849.0,Approved,Condo,2023-03-02
POL-200371,TG-106895,5178.0,Approved, apartment ,2023-06-18
POL-200372,TG-104719,24545.0,Pending, apartment ,2024-01-24
POL-200373,TG-107757,24726.0,Approved, apartment ,2023-01-03
POL-200374,TG-102160,12440.0, approved ,Condo,2024-02-04
POL-200375,TG-103778,16208.0, approved ,Condo,2023-09-29
POL-200376,TG-104489,,Pending,Townhouse,2025-03-13
POL-200377,TG-107313,9190.0,Approved,Townhouse,2025-03-14
POL-200378,TG-101957,22491.0, approved ,Apartment,2024-04-10
POL-200379,TG-105402,6076.0, approved ,Townhouse,2023-10-20
POL-200380,TG-105193,15849.0,Approved,Condo,2024-03-09
POL-200381,TG-104391,11846.0,Pending,Apartment,2024-12-14
POL-200382,TG-105223,19426.0,Approved, apartment ,2025-01-18
POL-200383,TG-102701,15947.0,Approved,Townhouse,2025-03-13
POL-200384,TG-102750,13047.0, approved , apartment ,2024-07-23
POL-200385,TG-107046,21578.0, approved ,Townhouse,2024-11-08
POL-200386,TG-104746,19232.0, approved ,Apartment,2025-01-05
POL-200387,TG-102718,20152.0,Pending, apartment ,2024-05-13
POL-200388,TG-107295,18849.0, approved , apartment ,2023-06-08
POL-200389,,22150.0,Approved,Condo,2023-07-14
POL-200390,TG-107507,7859.0,Pending,Condo,2023-10-31
POL-200391,TG-107159,16111.0,Approved,Apartment,2023-08-11
POL-200392,TG-109085,19600.0, approved ,Townhouse,2023-03-01
POL-200393,TG-107580,13866.0,Pending, apartment ,2024-08-16
POL-200394,TG-104145,17807.0,Pending,Apartment,2025-01-23
POL-200395,TG-100845,20043.0,Denied,Apartment,2024-07-09
POL-200396,TG-100520,19724.0, approved ,Apartment,2023-03-04
POL-200397,TG-106487,11987.0,Pending, apartment ,2025-02-04
POL-200398,TG-100210,12187.0,Denied,Condo,2023-11-18
POL-200399,TG-106684,19852.0,Denied,Apartment,2023-02-28
POL-200400,TG-106194,19296.0,Approved,Townhouse,2023-02-21
POL-200401,TG-109383,6558.0,Denied,Condo,2024-08-21
POL-200402,TG-106591,9137.0,Pending,Apartment,2024-05-03
POL-200403,TG-105434,15668.0,Pending,Apartment,2024-05-29
POL-200404,TG-109187,7110.0,Approved,Townhouse,2025-05-23
POL-200405,TG-108568,21496.0,Approved,Condo,2024-06-27
POL-200406,TG-108083,,Denied, apartment ,2023-06-11
POL-200407,TG-100788,12461.0,Pending,Townhouse,2023-02-28
POL-200408,TG-101251,,Approved,Townhouse,2024-06-04
POL-200409,TG-108229,18160.0, approved ,Apartment,2023-03-24
POL-200410,TG-101205,17461.0,Denied,Townhouse,2025-05-21
POL-200411,TG-106789,24960.0,Approved,Condo,2023-07-10
POL-200412,TG-104460,11518.0,Denied,Condo,2023-03-12
POL-200413,TG-102670,19779.0,Approved,Apartment,2024-09-01
POL-200414,TG-108690,6601.0,Approved,Townhouse,2023-03-11
POL-200415,TG-101570,19831.0,Pending,Apartment,2024-11-22
POL-200416,TG-104975,14555.0, approved ,Apartment,2025-06-01
POL-200417,TG-103011,12032.0,Approved,Apartment,2023-08-29
POL-200418,TG-106481,24456.0,Denied,Condo,2024-02-18
POL-200419,TG-108879,11510.0,Approved,Apartment,2023-05-03
POL-200420,TG-106185,22367.0,Denied,Townhouse,2024-08-06
POL-200421,TG-100142,8484.0,Pending,Apartment,2023-09-10
POL-200422,TG-100531,13993.0,Approved,Condo,2024-08-15
POL-200423,TG-108003,, approved , apartment ,2024-08-31
POL-200424,TG-104123,7511.0,Approved,Apartment,2023-02-10
