,app_id,property_id,app_date,employment_status,income,credit_score,previously_evicted,has_cosigner,approval_status,premium,monthly_rent,tenants,notes
47,58428,177,2023-05-09,Retired,220104,779.0,No,No,Withdrawn,1509.12,1572,1,
48,58625,835,2022-06-25,Part-Time,128630,591.0,No,Yes,Denied,2509.08,2987,2,.
49,60529,1755,2023-02-04,Part-Time,41338,834.0,Yes,No,Approved,1681.2,2802,5,
50,64113,317,2022-11-22,Self-Employed,62462,693.0,No,Yes,Denied,2854.08,2973,1,
51,65031,566,2021-08-28,Unemployed,115814,654.0,No,No,Approved,1177.8,1510,2,
52,66941,395,2021-08-23,Contract,190401,733.0,No,Yes,Denied,2486.4,4144,5,Flagged for manual review.
53,68766,1461,2022-05-29,Retired,41771,705.0,Yes,No,Approved,3621.12,3772,1,Applicant provided pay stubs.
54,70981,212,2023-07-23,Retired,269787,617.0,No,Yes,Under Review,1713.6,1785,4,
55,71141,1637,2020-09-05,Unemployed,242263,693.0,Yes,No,Approved,2810.4,4684,1,
56,71283,571,2022-08-13,Retired,31211,725.0,No,No,Denied,1703.46,2581,2,
57,71327,1218,2020-02-21,Contract,229294,782.0,No,No,Approved,4985.64,7554,4,.
58,71917,1380,2023-08-23,Self-Employed,169250,808.0,No,Yes,Approved,8010.24,8344,1,
59,71995,478,2021-10-18,Self-Employed,249012,611.0,No,No,Approved,1814.4,3024,4,
60,72021,122,2023-10-26,Student,66703,662.0,No,Yes,Approved,1247.4,1485,2,Referred by agent.
61,72452,843,2021-08-20,Full-Time,96593,697.0,Yes,Yes,Withdrawn,1117.74,1433,5,
62,77457,1135,2020-01-04,Retired,158915,696.0,No,No,Approved,2251.2,2680,5,
63,77536,1622,2024-01-27,Retired,98912,478.0,No,Yes,Approved,1770.78,2683,3,Applicant provided pay stubs.
64,77608,938,2022-11-06,Retired,157949,788.0,No,Yes,Approved,3348.0,5580,2,Renewal case.
65,78835,135,2022-07-06,Part-Time,38929,731.0,Yes,Yes,Withdrawn,1298.64,1546,2,Missing bank statements.
66,78900,1277,2022-01-11,Part-Time,132759,624.0,No,No,Pending,1163.52,1212,3,
67,79698,1626,,Part-Time,129683,808.0,Yes,Yes,Approved,3760.68,4477,3,Co-signer pending review.
68,80054,1108,2023-01-02,Retired,67982,630.0,No,No,Approved,1906.8,2270,5,Renewal case.
69,84952,183,2024-09-16,Full-Time,126775,732.0,No,No,Pending,6460.44,7691,2,income verified via Plaid
70,85446,1300,2023-12-12,Unemployed,225455,646.0,No,Yes,Under Review,3037.44,3616,5,Flagged for manual review.
71,85917,1054,2023-04-18,Student,88348,656.0,No,No,Pending,2042.88,2128,5,Referred by agent.
72,86395,805,2022-10-21,Full-Time,179372,367.0,No,Yes,Approved,1257.3,1905,4,
73,86589,384,2021-08-06,Student,31675,760.0,Yes,Yes,Pending,4969.38,6371,5,.
74,88929,1531,2020-02-08,Full-Time,208788,618.0,No,Yes,Approved,1610.7,2065,2,
75,89319,329,2022-06-26,Contract,153876,733.0,Yes,No,Approved,1874.4,2840,3,docs expired
76,91589,1600,2021-12-11,Unemployed,163765,,No,Yes,Pending,1850.94,2373,2,Referred by agent.
77,93901,506,2023-12-09,Part-Time,45964,608.0,No,No,Approved,1315.08,1686,3,Renewal case.
78,97465,493,2021-07-09,Self-Employed,154533,537.0,Yes,Yes,Pending,6987.12,8318,3,
79,98074,160,2023-04-21,Self-Employed,40504,781.0,No,No,Denied,894.6,1065,3,Applicant provided pay stubs.
80,98331,599,2022-05-19,Retired,286252,672.0,No,No,Approved,923.34,1399,2,Referred by agent.
81,98763,1094,2020-08-22,Part-Time,85053,711.0,No,No,Denied,1433.88,1707,2,Applicant provided pay stubs.
82,99221,1237,2021-03-24,Full-Time,164591,814.0,No,No,Approved,932.88,1196,4,
83,99521,1451,2021-08-06,Retired,164566,681.0,No,Yes,Denied,3500.28,4167,1,Applicant provided pay stubs.
84,101283,1067,2022-04-19,Contract,123836,691.0,Yes,Yes,Denied,1911.36,2896,3,
85,102129,20,2022-12-04,Full-Time,39954,605.0,No,Yes,Denied,4233.6,5040,4,Referred by agent.
86,102888,1448,2024-01-17,Self-Employed,21282,709.0,Yes,No,Denied,1903.44,2884,5,Renewal case.
87,103039,145,2021-03-21,Unemployed,184496,830.0,Yes,No,Approved,520.8,868,4,.
88,104681,31,2021-03-18,Part-Time,59925,,No,Yes,Under Review,3008.88,3582,1,docs expired
89,108314,1242,2024-10-31,Student,253626,825.0,No,Yes,Denied,3026.52,3603,3,Missing bank statements.
90,110697,1725,2021-09-10,Self-Employed,254073,799.0,No,Yes,Approved,8069.76,8406,3,Renewal case.
91,111153,43,2024-08-05,Self-Employed,63750,609.0,No,Yes,Approved,2569.32,3294,1,
92,112052,1495,2021-09-19,Self-Employed,87224,633.0,No,Yes,Approved,4537.26,5817,5,Applicant provided pay stubs.
93,113063,4,2024-12-22,Self-Employed,51665,,No,No,Under Review,1454.04,1731,5,
94,113191,1565,2022-07-04,Retired,197044,,No,No,Approved,3370.08,4012,2,Missing bank statements.
95,113530,1024,2024-11-29,Full-Time,222537,653.0,Yes,No,Approved,953.04,1444,2,Applicant provided pay stubs.
96,113555,11,2020-01-31,Self-Employed,21950,835.0,No,Yes,Under Review,3956.7,5995,4,
97,117487,1229,2022-12-25,Retired,234431,832.0,No,No,Pending,6237.0,9450,2,
98,118720,1048,2021-08-02,Self-Employed,318849,778.0,No,No,Denied,4804.8,8008,3,docs expired
99,120737,193,2022-01-04,Full-Time,169945,811.0,No,Yes,Under Review,1707.42,2189,3,Flagged for manual review.
100,125960,650,2020-09-03,Full-Time,136835,725.0,No,No,Denied,1384.5,1775,2,Missing bank statements.
101,126094,1447,2023-07-22,Contract,197756,778.0,No,Yes,Approved,1154.88,1203,4,Renewal case.
102,126356,1400,2020-05-15,Contract,118769,745.0,No,No,Withdrawn,3766.56,4484,3,Applicant provided pay stubs.
103,126975,572,2021-07-29,Self-Employed,213192,580.0,No,No,Under Review,1014.0,1300,3,Flagged for manual review.
104,126996,187,,Student,137349,631.0,No,Yes,Approved,3682.56,3836,1,docs expired
105,128305,1368,,Full-Time,207100,733.0,No,No,Denied,2045.34,3099,4,
106,129108,109,2020-03-19,Retired,81159,655.0,No,Yes,Under Review,1184.04,1794,4,Flagged for manual review.
107,129591,1115,2021-07-14,Student,227905,651.0,No,No,Pending,3333.96,3969,4,
108,131131,1321,2024-04-09,Retired,239168,509.0,No,Yes,Approved,2275.56,2709,3,Flagged for manual review.
109,131136,229,2023-06-03,Full-Time,93093,401.0,No,No,Denied,1559.58,2363,1,Flagged for manual review.
110,132652,218,2021-07-30,Contract,28471,809.0,No,Yes,Denied,2470.38,3743,2,
111,132917,92,2020-09-18,Part-Time,67954,484.0,Yes,Yes,Approved,2086.92,3162,5,.
112,133333,1253,2023-06-13,Self-Employed,141726,387.0,No,No,Approved,3552.12,5382,1,Referred by agent.
113,133448,47,2022-04-23,Retired,145598,758.0,No,Yes,Pending,5220.48,5438,3,Applicant provided pay stubs.
114,133824,1788,2023-01-30,Student,101900,661.0,No,No,Approved,2413.32,2873,3,docs expired
115,135331,1373,2024-05-06,Part-Time,62578,701.0,No,No,Denied,712.92,914,1,income verified via Plaid
116,135394,544,2022-02-06,Unemployed,141288,621.0,Yes,Yes,Withdrawn,1678.2,2797,5,
117,136068,1487,2023-04-14,Student,228101,783.0,No,Yes,Denied,2588.04,3081,2,
118,139268,1606,2022-09-26,Part-Time,291216,779.0,No,Yes,Denied,3695.16,4399,4,Applicant follow-up needed
119,139886,294,2020-05-06,Retired,175300,414.0,No,Yes,Under Review,3264.0,3400,1,Co-signer pending review.
120,140721,487,2023-04-11,Student,27828,743.0,Yes,Yes,Approved,2027.76,2414,1,Missing bank statements.
121,141484,1630,2020-10-26,Student,150789,722.0,Yes,Yes,Approved,884.52,1134,2,Missing bank statements.
122,142441,44,2022-08-14,Unemployed,65221,,No,No,Approved,6562.92,7813,4,Applicant provided pay stubs.
123,146250,1722,2024-01-28,Part-Time,204012,595.0,No,No,Approved,1010.4,1684,3,
124,147567,1330,2021-05-18,Full-Time,218954,661.0,No,Yes,Approved,759.0,1265,2,docs expired
125,147598,116,2021-03-25,Unemployed,37154,686.0,No,No,Approved,3159.24,3761,1,
126,149225,626,2024-11-19,Retired,100080,726.0,No,Yes,Approved,1911.36,1991,1,
127,149420,1395,2024-10-19,Contract,142175,687.0,No,Yes,Approved,2294.16,3476,5,
128,150507,1507,2021-03-16,Unemployed,278141,790.0,No,Yes,Denied,2498.16,2974,3,
129,151498,501,2021-02-27,Contract,46250,712.0,No,Yes,Approved,969.54,1469,2,
130,152406,669,2023-07-22,Retired,236654,660.0,No,Yes,Pending,530.64,804,5,
131,152599,827,2024-06-13,Contract,70668,794.0,No,No,Withdrawn,2832.72,4292,2,docs expired
132,157105,411,2022-07-05,Full-Time,214343,719.0,No,Yes,Approved,979.2,1020,5,income verified via Plaid
133,157323,908,2021-07-22,Full-Time,125073,716.0,No,No,Approved,4617.6,4810,2,Applicant follow-up needed
134,157703,930,2024-08-26,Unemployed,206267,613.0,No,No,Approved,2563.08,3286,4,
135,157864,1791,2024-04-20,Part-Time,181970,714.0,No,Yes,Approved,3003.0,3575,1,Referred by agent.
136,159508,549,2023-03-15,Full-Time,170052,770.0,Yes,No,Approved,1958.88,2968,3,docs expired
137,160038,934,2020-12-03,Part-Time,179512,685.0,No,Yes,Approved,1213.08,1838,1,Missing bank statements.
138,160793,503,2020-12-15,Full-Time,129847,675.0,No,No,Denied,3263.52,4184,4,Referred by agent.
139,169687,118,,Retired,46981,586.0,No,Yes,Pending,4216.8,7028,3,.
140,169720,1071,2023-04-13,Self-Employed,223541,787.0,No,Yes,Approved,3295.68,3433,5,docs expired
141,170238,413,2022-03-19,Part-Time,191032,692.0,No,Yes,Approved,6230.4,6490,3,Missing bank statements.
142,170623,840,2022-01-30,Unemployed,165418,377.0,No,No,Denied,2169.18,2781,1,Referred by agent.
143,172144,760,2023-05-21,Contract,98418,700.0,No,Yes,Denied,1201.86,1821,1,
144,175215,1385,2024-04-12,Retired,155826,347.0,Yes,No,Approved,865.2,0,1,.
145,175514,690,2021-01-10,Contract,137620,594.0,No,Yes,Approved,1290.24,1344,3,
146,180649,74,2023-08-24,Self-Employed,776000,798.0,No,Yes,Denied,9555.84,9954,1,Co-signer pending review.
147,183217,1188,2022-10-04,Part-Time,209218,662.0,Yes,No,Approved,7519.2,12532,5,Applicant follow-up needed
148,185677,755,2021-06-04,Unemployed,268437,644.0,No,No,Withdrawn,3675.6,6126,2,Applicant follow-up needed
149,186316,389,,Unemployed,19113,797.0,No,Yes,Under Review,4840.08,5762,3,.
150,186324,1713,2022-06-03,Retired,92115,,No,No,Approved,5485.92,8312,1,docs expired
151,186643,1345,2022-08-11,Student,137004,693.0,Yes,No,Denied,3549.84,4226,1,
152,189700,933,2023-07-20,Full-Time,223286,570.0,No,No,Approved,1033.2,0,1,Flagged for manual review.
153,191503,1434,2024-11-01,Full-Time,83961,317.0,No,No,Approved,6736.32,7017,3,Flagged for manual review.
154,192095,1597,2022-01-19,Unemployed,160716,781.0,No,Yes,Denied,1317.36,0,4,
155,194002,1512,2020-01-25,Student,119230,470.0,No,Yes,Denied,2441.88,2907,1,
156,197710,890,2020-05-13,Part-Time,190231,508.0,Yes,Yes,Pending,7708.14,11679,4,.
157,200029,588,2022-08-03,Student,56100,647.0,No,No,Pending,1862.4,1940,5,Renewal case.
158,202117,1171,2021-12-07,Part-Time,170559,539.0,No,No,Approved,1850.52,2203,5,
159,203006,985,2024-07-28,Student,187424,,No,No,Approved,1455.72,1733,2,
160,203441,1294,2022-05-16,Unemployed,102257,623.0,No,Yes,Denied,1883.28,2242,3,Applicant follow-up needed
161,204376,1611,2023-10-05,Part-Time,180679,,No,No,Approved,4625.04,5506,1,docs expired
162,204793,373,2024-09-01,Retired,132365,,Yes,No,Denied,4920.0,8200,5,docs expired
163,204948,782,2021-02-19,Retired,101280,826.0,No,No,Approved,2185.92,3312,1,Referred by agent.
164,205143,669,2020-05-05,Student,188629,605.0,Yes,No,Approved,771.84,804,1,Flagged for manual review.
165,205513,1004,2022-05-31,Student,829000,,No,Yes,Pending,5247.36,5466,3,
166,205792,879,2023-01-30,Part-Time,126864,713.0,Yes,No,Denied,532.2,887,2,Missing bank statements.
167,207068,1250,2022-09-05,Unemployed,204948,815.0,No,No,Withdrawn,3649.92,3802,1,Applicant provided pay stubs.
168,207263,1612,2021-07-30,Retired,215022,807.0,No,Yes,Pending,2043.84,2129,5,
169,212326,919,,Retired,233799,,No,Yes,Denied,773.64,921,2,Applicant follow-up needed
170,212669,635,2020-08-15,Retired,91293,825.0,No,Yes,Approved,4214.28,5017,4,Missing bank statements.
171,214269,848,2023-01-31,Full-Time,177616,824.0,No,No,Approved,4599.66,5897,5,
172,215127,1284,2020-01-28,Contract,33538,746.0,No,Yes,Denied,4358.64,5588,1,
173,219335,38,2022-03-25,Retired,154696,829.0,No,No,Approved,4979.52,5187,1,Renewal case.
174,221359,1788,2023-07-04,Full-Time,194479,804.0,Yes,Yes,Approved,2413.32,2873,3,Renewal case.
175,221969,43,2021-10-23,Full-Time,25380,678.0,No,Yes,Pending,1976.4,3294,4,income verified via Plaid
176,223016,1291,2020-09-29,Student,74488,736.0,No,Yes,Approved,1584.6,2641,4,Missing bank statements.
177,225310,255,2023-11-06,Retired,62774,606.0,No,Yes,Approved,3070.2,3655,5,Renewal case.
178,227834,1753,2022-11-15,Self-Employed,212336,630.0,Yes,Yes,Approved,2368.32,2467,1,Co-signer pending review.
179,228132,1284,2020-07-28,Retired,118348,714.0,No,No,Denied,5364.48,5588,1,Renewal case.
180,229894,1687,2020-09-27,Contract,183647,793.0,No,Yes,Denied,2169.0,3615,1,Applicant provided pay stubs.
181,230456,290,2024-10-22,Part-Time,183195,844.0,Yes,No,Denied,1294.8,1660,2,Missing bank statements.
182,231389,737,2020-02-21,Retired,175859,720.0,No,No,Approved,2811.6,4260,1,Referred by agent.
183,231613,1369,2023-12-26,Part-Time,152615,,No,No,Under Review,1002.6,1671,2,.
184,233008,543,2020-06-27,Unemployed,25291,642.0,Yes,Yes,Denied,1492.8,2488,3,Flagged for manual review.
185,234490,634,2023-02-01,Self-Employed,90908,672.0,No,Yes,Approved,1204.56,1434,1,
186,235005,1586,2021-06-02,Student,206049,740.0,No,No,Pending,3695.34,5599,4,
187,237584,333,2021-03-12,Unemployed,58707,,Yes,No,Denied,831.0,1385,2,
188,237842,170,2024-02-23,Contract,180039,807.0,No,No,Denied,4109.76,4281,5,
189,238008,644,2020-02-10,Full-Time,9272,397.0,Yes,No,Approved,3450.24,3594,4,Applicant provided pay stubs.
190,238340,749,2024-08-30,Unemployed,103912,524.0,No,No,Denied,2650.56,2761,5,Flagged for manual review.
191,238672,1766,2021-07-09,Unemployed,49567,686.0,No,Yes,Approved,4246.2,5055,1,
192,240192,221,2023-02-15,Full-Time,91533,581.0,Yes,Yes,Approved,2997.12,3122,4,Referred by agent.
193,243152,1578,2020-12-27,Unemployed,119685,816.0,No,Yes,Denied,5772.48,6872,2,
194,245293,804,2023-09-24,Retired,90190,797.0,Yes,Yes,Withdrawn,1894.2,3157,3,Referred by agent.
195,245728,161,2023-06-17,Part-Time,205277,495.0,No,Yes,Denied,2403.6,4006,2,
196,246025,200,2024-04-26,Unemployed,224514,,No,No,Denied,2342.76,2789,4,income verified via Plaid
197,246932,963,2023-01-07,Part-Time,78716,798.0,No,Yes,Approved,572.22,867,3,
198,247453,510,2024-01-18,Unemployed,44144,762.0,No,No,Denied,1168.8,1948,4,Applicant follow-up needed
199,247865,312,2024-06-26,Self-Employed,221474,,No,Yes,Pending,4027.2,4195,2,income verified via Plaid
200,249173,1690,2023-12-14,Unemployed,169258,784.0,No,Yes,Approved,1349.4,2249,5,docs expired
201,249994,1712,2023-10-27,Self-Employed,30860,693.0,No,No,Pending,1038.6,1731,5,.
202,250164,1021,2022-01-22,Full-Time,156700,691.0,No,Yes,Approved,1992.54,3019,4,Applicant provided pay stubs.
203,251694,1054,2020-04-27,Retired,120540,406.0,No,No,Approved,1659.84,2128,1,Applicant provided pay stubs.
204,252094,1298,2024-10-07,Student,76932,772.0,No,Yes,Approved,884.4,1340,5,.
205,253498,1354,2022-12-22,Self-Employed,91915,357.0,No,No,Approved,1742.16,2074,2,
206,255712,208,2023-09-10,Student,78063,698.0,No,Yes,Denied,511.8,853,1,Missing bank statements.
207,256787,514,2021-11-09,Part-Time,149344,,No,No,Withdrawn,721.5,925,4,
208,258034,153,2023-04-30,Retired,98135,701.0,No,No,Pending,2938.98,4453,3,
209,258195,1266,2023-06-13,Self-Employed,42903,772.0,Yes,Yes,Approved,1062.72,1107,1,Referred by agent.
210,258323,1258,2020-11-04,Contract,212085,693.0,No,No,Denied,1644.48,1713,2,
211,258711,1558,2023-01-23,Unemployed,115730,683.0,No,No,Approved,5439.84,6476,1,income verified via Plaid
212,262313,1539,2023-07-07,Student,125977,,No,No,Pending,5910.96,8956,3,
213,262363,1182,2021-08-22,Part-Time,225082,749.0,Yes,No,Denied,3230.04,4894,5,Renewal case.
214,262735,478,2023-06-28,Contract,246624,693.0,No,No,Denied,1814.4,3024,5,
215,263955,23,2024-11-22,Unemployed,180743,743.0,Yes,No,Approved,3488.64,3634,2,income verified via Plaid
216,264931,1432,2021-02-13,Student,73026,303.0,No,Yes,Under Review,4734.6,6070,5,Applicant follow-up needed
217,268250,499,2024-05-24,Contract,235520,823.0,Yes,Yes,Denied,2050.8,3418,4,.
218,268839,1766,2023-08-29,Contract,8224,,No,Yes,Withdrawn,3033.0,5055,2,Referred by agent.
219,269168,115,2024-08-15,Self-Employed,199273,588.0,Yes,No,Approved,4587.84,4779,2,docs expired
220,272816,1304,2024-07-16,Full-Time,226472,796.0,No,No,Approved,7522.68,11398,5,
221,272865,813,2023-09-28,Retired,80098,613.0,Yes,Yes,Denied,1809.6,2320,4,
222,275265,594,2023-12-15,Self-Employed,37781,524.0,No,Yes,Under Review,1803.6,3006,3,
223,275595,996,2022-12-01,Retired,201691,824.0,No,No,Approved,5286.96,6294,2,
224,276409,1117,2022-02-27,Retired,27368,701.0,No,Yes,Under Review,3110.4,3240,3,.
225,278318,1472,2021-12-19,Contract,120755,606.0,Yes,Yes,Approved,5756.52,6853,5,Missing bank statements.
226,278901,1255,,Contract,114422,,No,No,Approved,5635.5,7225,1,
227,281782,1422,2020-01-23,Unemployed,182240,671.0,No,No,Approved,2176.32,2267,1,Missing bank statements.
228,282101,1310,2024-04-23,Unemployed,184488,686.0,No,No,Denied,2971.8,3810,3,.
229,285699,1033,2021-04-20,Unemployed,56122,690.0,No,No,Approved,2732.16,2846,5,Renewal case.
230,285858,953,2022-08-18,Full-Time,55729,768.0,No,No,Withdrawn,2818.2,4270,1,Missing bank statements.
231,286087,851,2023-05-10,Unemployed,173978,776.0,Yes,No,Denied,1533.48,1966,4,income verified via Plaid
232,286096,834,2023-09-11,Part-Time,107164,751.0,No,Yes,Approved,982.8,1260,5,
233,286739,322,2024-01-14,Student,88367,782.0,No,Yes,Denied,3458.28,4117,4,Applicant follow-up needed
234,288981,1364,2021-06-06,Unemployed,7838,766.0,Yes,No,Approved,4536.84,5401,1,
235,289080,617,2022-11-06,Part-Time,83159,619.0,No,No,Approved,1960.8,3268,4,Renewal case.
236,289530,497,2022-07-31,Unemployed,180367,694.0,No,No,Denied,2233.44,3384,1,
237,289739,234,2024-03-22,Self-Employed,60772,593.0,No,No,Approved,2517.24,3814,5,Missing bank statements.
238,291638,759,2021-01-01,Contract,316338,790.0,Yes,Yes,Denied,4716.6,7861,4,Referred by agent.
239,292528,229,2020-04-26,Contract,164893,740.0,No,No,Denied,1559.58,2363,5,Co-signer pending review.
240,297383,935,2024-02-27,Self-Employed,176507,391.0,No,Yes,Denied,2325.84,3524,1,Missing bank statements.
241,297733,863,2020-08-14,Unemployed,153995,,No,No,Denied,1205.76,1256,3,
242,299364,483,2024-12-14,Full-Time,172850,679.0,No,Yes,Denied,1528.32,1592,2,
243,300771,1155,2023-01-14,Retired,46810,637.0,Yes,Yes,Pending,1850.88,1928,2,Flagged for manual review.
244,300779,1315,2024-07-22,Student,133042,,No,No,Pending,670.8,1118,2,Co-signer pending review.
245,301694,898,2023-08-09,Full-Time,237949,829.0,No,No,Approved,1209.0,2015,3,Renewal case.
246,302965,1789,2023-07-16,Full-Time,44713,,No,No,Approved,2348.58,3011,3,Renewal case.
247,303769,493,2020-12-24,Unemployed,179711,778.0,Yes,Yes,Approved,6987.12,8318,1,Flagged for manual review.
248,304245,1424,2022-07-30,Student,159174,767.0,No,Yes,Under Review,1940.64,2488,3,Flagged for manual review.
249,305750,777,2020-04-05,Part-Time,117523,607.0,No,No,Approved,1860.3,2385,4,Applicant follow-up needed
250,305930,1245,2022-01-09,Self-Employed,185247,737.0,No,No,Pending,2088.24,3164,5,Applicant provided pay stubs.
251,306014,690,2024-07-14,Unemployed,203962,,No,Yes,Pending,887.04,1344,4,
252,308382,1558,2023-10-17,Unemployed,204870,729.0,No,No,Approved,4274.16,6476,1,
253,309024,1718,2022-05-29,Unemployed,158015,,No,No,Under Review,1702.08,1773,3,.
254,309428,453,2022-11-25,Unemployed,188825,801.0,No,No,Pending,1313.4,1990,5,
255,310242,50,2023-05-19,Unemployed,81538,814.0,No,No,Denied,4929.12,5868,1,Missing bank statements.
256,310716,1785,2023-04-05,Retired,105506,,No,Yes,Approved,4646.04,5531,2,
257,312203,1084,2022-07-21,Unemployed,194248,784.0,No,No,Denied,1682.52,2003,2,Flagged for manual review.
258,313244,185,2022-07-04,Unemployed,76047,806.0,No,Yes,Approved,3555.24,4558,5,Applicant follow-up needed
259,315567,802,2020-06-26,Self-Employed,174747,688.0,Yes,No,Approved,2784.96,2901,1,.
260,315753,819,,Part-Time,4551,,No,No,Denied,4232.64,4409,4,Missing bank statements.
261,316339,1322,2020-07-07,Part-Time,59890,366.0,No,No,Pending,2881.32,3694,2,
262,317030,836,2020-11-12,Student,223899,777.0,No,Yes,Pending,2920.5,4425,1,Applicant provided pay stubs.
263,320659,58,2023-12-05,Full-Time,206900,,No,Yes,Approved,1064.58,0,4,Missing bank statements.
264,320823,935,2023-09-03,Full-Time,88468,784.0,No,No,Withdrawn,1671.6,2786,2,.
265,321959,1561,2022-06-25,Full-Time,226668,703.0,Yes,No,Denied,2524.08,3236,5,Applicant provided pay stubs.
266,323342,1705,2023-11-17,Unemployed,119633,709.0,No,Yes,Pending,2477.16,2949,3,Applicant follow-up needed
267,323390,1089,2024-12-28,Full-Time,251166,581.0,No,Yes,Under Review,1840.44,2191,1,Referred by agent.
268,323395,1636,2023-05-03,Full-Time,218891,844.0,No,No,Approved,11028.48,0,3,Referred by agent.
269,324271,935,2020-01-22,Contract,230210,793.0,No,Yes,Withdrawn,2744.82,3519,4,Missing bank statements.
