property_id,city,state,zip,unit_type,monthly_rent,landlord_type,lease_length
00122,"San Francisco",CA,94110,Studio,1485,"Property Management Co","24 months"
00123,"San Antonio",TX,78201,Studio,1054,Corporate,"12 months"
00124,Austin,TX,78701,Studio,994,"Property Management Co","12 months"
00126,Bellevue,WA,98004,1BR,2234,"Property Management Co","12 months"
00128,Brooklyn,NY,11201,3BR,7677,Corporate,"24 months"
00129,Nashville,TN,37206,Studio,1435,Corporate,"24 months"
00131,Nashville,TN,37206,Studio,1267,Corporate,"18 months"
00132,Cambridge,MA,02139,Studio,1828,REIT,"12 months"
00133,Houston,TX,770XX,4BR+,3195,Corporate,"6 months"
00134,Houston,TX,77025,4BR+,3695,"Property Management Co","6 months"
00135,Houston,TX,77001,1BR,1546,REIT,"12 months"
00137,Cambridge,MA,02139,Studio,1992,"Property Management Co","12 months"
00138,Chicago,IL,60647,2BR,2208,LLC,"24 months"
00139,Boston,MA,02115,3BR,5938,LLC,"12 months"
00140,Atlanta,GA,303XX,Studio,1249,"Property Management Co","12 months"
00141,Oakland,CA,94601,1BR,3057,Individual,"24 months"
00142,Denver,CO,80205,4BR+,4117,LLC,"12 months"
00143,Chicago,IL,60647,Studio,1973,Individual,"12 months"
00144,"New York",NY,10001,2BR,6658,Individual,"12 months"
00145,Austin,TX,78704,Studio,868,Individual,"12 months"
00146,Brooklyn,NY,11201,Studio,2217,,"6 months"
00147,"New York",NY,10002,1BR,3442,"Property Management Co","24 months"
00148,Nashville,TN,37201,Studio,975,Individual,"18 months"
00149,Chicago,IL,60601,Studio,1719,Individual,"18 months"
00151,"Fort Lauderdale",FL,333XX,3BR,3821,Individual,"12 months"
00152,Bellevue,WA,98004,2BR,2369,LLC,"12 months"
00153,Brooklyn,NY,11201,1BR,4453,"Property Management Co","12 months"
00154,Portland,OR,97201,Studio,1383,Individual,"6 months"
00155,Houston,TX,77025,"2 bed",4232,LLC,"12 months"
00156,"Fort Lauderdale",FL,33301,2BR,4287,"Property Management Co","6 months"
00157,"San Francisco",CA,94110,4BR+,11068,REIT,"12 months"
00158,Arlington,VA,22201,Studio,1255,"Property Management Co","12 months"
00159,Aurora,CO,80010,Studio,1108,Individual,"12 months"
00161,Seattle,WA,98103,1BR,4006,"Property Management Co","12 months"
00162,Houston,TX,77025,1BR,1189,Individual,"18 months"
00164,Atlanta,GA,303XX,1BR,2778,Individual,"12 months"
00165,Arlington,VA,22201,1BR,2312,,"12 months"
00166,Washington,DC,20001,2BR,3003,Corporate,"12 months"
00167,Chicago,IL,60647,4BR+,4070,LLC,"24 months"
00168,Washington,DC,20001,Studio,1686,"Property Management Co","18 months"
00170,Washington,DC,20009,2BR,4281,Individual,"24 months"
00171,Seattle,WA,98101,4BR+,5062,REIT,"18 months"
00172,"Los Angeles",CA,90025,3BR,4243,"Property Management Co","12 months"
00173,Oakland,CA,94601,1BR,2729,LLC,"24 months"
00174,Arlington,VA,22201,studio,2420,,"12 months"
00175,Seattle,WA,98101,2BR,6642,REIT,"24 months"
00176,Bellevue,WA,98004,4BR+,8083,Corporate,"12 months"
00177,Tempe,AZ,85281,Studio,1572,LLC,"12 months"
00179,Nashville,TN,37201,2BR,4230,REIT,"24 months"
00180,Houston,TX,77001,2BR,1993,Individual,"6 months"
00181,Queens,NY,11101,Studio,911,LLC,"12 months"
00182,Tempe,AZ,85281,Studio,1393,Corporate,"6 months"
00183,Decatur,GA,30030,4BR+,7691,Corporate,"18 months"
00184,Brooklyn,NY,11201,4BR+,5326,"Property Management Co","12 months"
00185,"San Francisco",CA,94102,4BR+,4558,"Property Management Co","12 months"
00186,"Los Angeles",CA,90036,4BR+,3617,LLC,"18 months"
00188,Houston,TX,77025,Studio,1341,REIT,"12 months"
00189,Arlington,"VA ",22201,3BR,3230,Corporate,"12 months"
00190,Cambridge,MA,02139,4BR+,5705,Corporate,"12 months"
00193,Atlanta,GA,30308,Studio,2189,LLC,"6 months"
00194,Seattle,WA,981XX,4BR+,4566,LLC,"12 months"
00195,Nashville,TN,37206,3BR,5410,Corporate,"12 months"
00197,Chicago,IL,60647,3BR,5683,Corporate,"12 months"
00198,Denver,CO,80205,4BR+,3738,REIT,"12 months"
00199,Boston,MA,02101,Studio,1851,"Property Management Co","12 months"
00201,Miami,"FL ",33101,2BR,2430,"Property Management Co","12 months"
00202,Chicago,IL,606XX,4BR+,7724,LLC,"12 months"
00203,"San Francisco",CA,94110,Studio,2199,"Property Management Co","24 months"
00204,Houston,TX,770XX,Studio,1352,REIT,"6 months"
00205,Denver,CO,80205,Studio,1134,LLC,"12 months"
00206,Boston,MA,02115,2BR,3596,Individual,"12 months"
00207,"Fort Lauderdale",FL,33301,4BR+,6644,Individual,"12 months"
00208,Decatur,GA,30030,Studio,853,,"18 months"
00210,Atlanta,GA,30301,1BR,2274,LLC,"12 months"
00211,Denver,CO,80201,1BR,1424,"Property Management Co","12 months"
00212,"New York",NY,10002,1BR,1785,"Property Management Co","12 months"
00213,Brooklyn,NY,11201,2BR,5736,"Property Management Co","12 months"
00214,Denver,CO,80201,2BR,4177,"Property Management Co","12 months"
00215,Miami,FL,33101,Studio,886,LLC,"18 months"
00216,Arlington,VA,22201,2BR,1687,"Property Management Co","12 months"
00217,Austin,TX,78704,2BR,3459,LLC,"12 months"
00218,Arlington,VA,22201,2BR,3743,LLC,"6 months"
00219,Houston,TX,77019,3BR,2448,Corporate,"12 months"
00220,Houston,TX,77001,1BR,2118,LLC,"18 months"
00223,Queens,NY,11101,4BR+,5659,Individual,"6 months"
00224,Houston,TX,77025,4BR+,7295,LLC,"12 months"
00225,Boston,MA,02101,Studio,1774,LLC,"24 months"
00226,"San Francisco",CA,94102,Studio,1545,Corporate,"6 months"
00227,"Los Angeles",CA,90025,Studio,1297,Corporate,"24 months"
00228,Atlanta,GA,303XX,Studio,1323,Individual,"18 months"
00229,"Los Angeles",CA,90001,"2 bed",2363,REIT,"12 months"
00230,Denver,CO,80201,Studio,1936,REIT,"24 months"
00231,"Los Angeles",CA,90036,4BR+,7291,Corporate,"24 months"
00234,Austin,TX,78701,3BR,3814,Corporate,"18 months"
00235,Washington,DC,20009,Studio,1188,LLC,"12 months"
00236,Bellevue,WA,98004,3BR,4617,LLC,"12 months"
00237,Boston,MA,02101,4BR+,4184,LLC,"18 months"
00238,"New York",NY,10001,4BR+,12603,Corporate,"24 months"
00239,"San Francisco",CA,94102,4BR+,5838,Individual,"6 months"
00240,Austin,TX,78701,4BR+,3999,"Property Management Co","18 months"
00241,Bellevue,WA,98004,2BR,2131,Individual,"12 months"
00242,"New York",NY,10003,2BR,2469,Individual,"12 months"
00244,Brooklyn,NY,11205,1BR,1840,Individual,"12 months"
00245,Houston,TX,77019,4BR+,3306,REIT,"12 months"
00246,"New York",NY,10003,3BR,5209,Corporate,"12 months"
00248,Phoenix,AZ,85001,Studio,1016,"Property Management Co","12 months"
00249,Seattle,WA,98103,3BR,4182,"Property Management Co","12 months"
00250,Tempe,AZ,85281,Studio,1630,LLC,"24 months"
00251,Miami,FL,33101,1BR,1419,"Property Management Co","12 months"
00252,"San Francisco",CA,94110,Studio,1650,REIT,"12 months"
00253,"Los Angeles",CA,90036,2BR,3848,"Property Management Co","12 months"
00255,Tempe,AZ,85281,3BR,3655,LLC,"24 months"
00256,Queens,NY,11101,1BR,2244,REIT,"12 months"
00259,Scottsdale,AZ,85251,3BR,4002,LLC,"12 months"
00260,Atlanta,GA,30301,3BR,3764,REIT,"24 months"
00262,Oakland,CA,94601,Studio,1045,REIT,"12 months"
00263,Chicago,IL,60614,Studio,1367,"Property Management Co","6 months"
00264,"New York",NY,10003,Studio,1416,"Property Management Co","18 months"
00265,Houston,TX,77025,Studio,1587,"Property Management Co","6 months"
00266,Denver,CO,80201,1BR,2697,REIT,"12 months"
00268,"San Antonio",TX,78201,4BR+,7072,Corporate,"12 months"
00269,Brooklyn,NY,11205,Studio,2040,Individual,"12 months"
00271,"Los Angeles",CA,90001,4BR+,8131,REIT,"12 months"
00272,"New York",NY,10003,Studio,1360,Individual,"6 months"
00273,Phoenix,AZ,85001,4BR+,4770,Individual,"12 months"
00274,Houston,TX,77025,2BR,4213,,"12 months"
00275,"San Francisco",CA,94110,1BR,1680,Individual,"12 months"
00276,Arlington,VA,22201,Studio,832,"Property Management Co","24 months"
00277,Boston,MA,02101,4BR+,5210,Individual,"12 months"
00278,Chicago,IL,60647,4BR+,4954,"Property Management Co","18 months"
00279,Atlanta,GA,30301,Studio,1762,REIT,"18 months"
00280,Washington,DC,20009,Studio,1400,REIT,"18 months"
00281,Decatur,GA,30030,3BR,2740,LLC,"12 months"
00282,Chicago,IL,60614,1BR,1268,Individual,"12 months"
00284,Washington,DC,20001,1BR,2563,LLC,"6 months"
00285,Nashville,TN,37201,2BR,3351,REIT,"12 months"
00286,"San Francisco",CA,94110,4BR+,10332,Corporate,"12 months"
00287,Chicago,IL,60647,3BR,5570,REIT,"6 months"
00288,"Fort Lauderdale","FL ",33301,3BR,4168,Corporate,"12 months"
00289,Cambridge,MA,02139,3BR,3387,REIT,"18 months"
00290,Boston,MA,02115,1BR,1660,LLC,"12 months"
00291,Brooklyn,NY,11205,Studio,1602,Corporate,"6 months"
00292,Austin,TX,78701,studio,959,LLC,"6 months"
00294,Phoenix,AZ,85001,2BR,3400,REIT,"12 months"
00295,"Los Angeles",CA,90025,3BR,5215,REIT,"12 months"
00296,Atlanta,GA,30301,Studio,1044,"Property Management Co","24 months"
00297,Denver,CO,80205,2BR,3584,"Property Management Co","12 months"
00298,Seattle,WA,98103,4BR+,10888,Individual,"12 months"
00299,Austin,TX,78704,3BR,4480,LLC,"12 months"
00300,Miami,FL,33130,3BR,4970,"Property Management Co","24 months"
00301,Miami,FL,331XX,1BR,2378,,"12 months"
00302,"San Francisco",CA,94102,Studio,2700,LLC,"12 months"
00303,Houston,TX,77025,4BR+,5239,Corporate,"18 months"
00304,Chicago,IL,60647,Studio,2085,LLC,"24 months"
00305,Seattle,WA,98103,3BR,7194,"Property Management Co","12 months"
00306,Chicago,IL,60614,2BR,2658,REIT,"12 months"
00307,"Los Angeles",CA,90025,4BR+,7754,Corporate,"12 months"
00309,Brooklyn,NY,11201,1BR,4012,Corporate,"24 months"
00310,Aurora,CO,80010,Studio,1361,"Property Management Co","12 months"
00311,Arlington,VA,22201,1BR,2741,REIT,"12 months"
00312,Seattle,WA,981XX,1BR,4195,REIT,"18 months"
00315,Miami,FL,,Studio,995,Corporate,"12 months"
00316,Tempe,AZ,85281,3BR,2567,REIT,"12 months"
00317,Bellevue,WA,98004,3BR,2973,LLC,"6 months"
00318,Boston,MA,,Studio,1217,"Property Management Co","24 months"
00319,"Los Angeles",CA,90025,3BR,2829,"Property Management Co","12 months"
00320,Brooklyn,NY,11201,2BR,2833,Corporate,"12 months"
00321,Nashville,TN,37206,4BR+,6010,Individual,"24 months"
00322,Chicago,IL,60601,3BR,4117,Individual,"24 months"
00325,Queens,NY,11101,1BR,1156,"Property Management Co","12 months"
00326,Portland,OR,972XX,3BR,5721,LLC,"18 months"
00328,Austin,TX,78704,1BR,1999,"Property Management Co","24 months"
00330,Houston,TX,77025,Studio,1950,"Property Management Co","6 months"
00331,Decatur,GA,30030,Studio,1838,Individual,"12 months"
00332,Phoenix,AZ,85001,2BR,2301,"Property Management Co","6 months"
00333,Austin,TX,787XX,1BR,1385,LLC,"12 months"
00334,Bellevue,WA,98004,2BR,3761,REIT,"24 months"
00335,"Los Angeles",CA,90036,4BR+,7191,LLC,"12 months"
00336,"Los Angeles",CA,90025,Studio,2133,LLC,"6 months"
00337,Bellevue,WA,98004,4BR+,3802,LLC,"12 months"
00338,Austin,TX,78704,3BR,4271,Individual,"12 months"
00339,"New York",NY,10003,4BR+,9100,Individual,"18 months"
00340,Seattle,WA,98103,4BR+,11941,"Property Management Co","24 months"
00341,Austin,TX,78704,2BR,2278,LLC,"18 months"
00342,Chicago,IL,60647,Studio,1363,LLC,"18 months"
00343,Chicago,IL,60614,2BR,2646,REIT,"18 months"
00344,"San Francisco","CA ",941XX,1BR,4774,Individual,"18 months"
00346,Denver,CO,80201,2BR,3996,Corporate,"24 months"
00347,Austin,TX,787XX,2BR,2999,"Property Management Co","24 months"
00348,Brooklyn,NY,11205,4BR+,8836,Individual,"24 months"
00349,Boston,MA,02115,1BR,2341,LLC,"12 months"
00351,Brooklyn,NY,11201,"1 bed",4083,LLC,"12 months"
00352,Houston,TX,77001,1BR,2373,REIT,"12 months"
00353,"Los Angeles",CA,90001,3BR,2448,Individual,"12 months"
00354,Houston,TX,77025,4BR+,6802,LLC,"12 months"
00355,Washington,DC,20009,4BR+,8086,Corporate,"6 months"
00356,Atlanta,GA,30301,4BR+,7154,"Property Management Co","18 months"
00358,Boston,MA,021XX,Studio,1936,LLC,"6 months"
00359,"New York",NY,10002,1BR,2331,Corporate,"12 months"
00360,Oakland,CA,94601,3BR,5325,Corporate,"12 months"
00361,Tempe,AZ,85281,3BR,4242,Individual,"12 months"
00363,Austin,TX,78704,1BR,1410,REIT,"12 months"
00364,Atlanta,GA,303XX,2BR,2754,Corporate,"12 months"
00365,"San Antonio","TX ",78201,2BR,2369,REIT,"24 months"
00366,Atlanta,GA,30308,2BR,3924,LLC,"12 months"
00367,Washington,DC,20009,2BR,2027,"Property Management Co","12 months"
00368,Denver,CO,80205,1BR,1628,Corporate,"12 months"
00369,Austin,TX,78704,Studio,1617,LLC,"18 months"
00370,Austin,TX,78701,3BR,4529,"Property Management Co","6 months"
00371,Tempe,"AZ ",85281,2BR,2275,REIT,"18 months"
00374,"New York",NY,10002,Studio,2235,LLC,"12 months"
00375,Bellevue,WA,98004,1BR,2747,Individual,"18 months"
00376,Bellevue,WA,980XX,3BR,2918,Individual,"24 months"
00377,Austin,TX,78701,1BR,1425,REIT,"24 months"
00378,Seattle,WA,98101,Studio,1903,Individual,"12 months"
00379,Houston,TX,77019,1BR,1811,Corporate,"12 months"
00380,Phoenix,AZ,85001,3BR,5210,Corporate,"18 months"
00381,Oakland,CA,94601,3BR,5128,"Property Management Co","6 months"
00382,"Los Angeles",CA,90025,3BR,5325,Corporate,"24 months"
00383,Nashville,TN,37201,1BR,2965,LLC,"12 months"
00385,Brooklyn,NY,11205,3BR,5071,Corporate,"18 months"
00386,"Los Angeles",CA,90001,studio,2300,LLC,"12 months"
00388,Miami,FL,33101,2BR,3709,LLC,"24 months"
00389,"Los Angeles",CA,90001,3BR,5762,"Property Management Co","12 months"
00390,Chicago,IL,60614,Studio,1016,REIT,"12 months"
00391,Denver,CO,80201,3BR,3115,LLC,"12 months"
00393,Bellevue,WA,98004,2BR,2720,Corporate,"24 months"
00394,Denver,CO,80205,2BR,1688,Corporate,"24 months"
00395,Seattle,WA,98103,3BR,4144,Corporate,"6 months"
00396,Boston,MA,02115,3BR,4311,Individual,"12 months"
00397,Cambridge,MA,02139,Studio,1045,"Property Management Co","18 months"
00399,Austin,TX,78704,2BR,2127,Corporate,"12 months"
00400,"Los Angeles",CA,90036,4BR+,5884,LLC,"12 months"
00401,Brooklyn,NY,11205,4BR+,6505,REIT,"12 months"
00403,"Los Angeles",CA,90025,1BR,2355,LLC,"6 months"
00404,Nashville,TN,37206,4BR+,7649,LLC,"12 months"
00405,Seattle,WA,98103,Studio,2137,"Property Management Co","24 months"
00406,Nashville,TN,37206,4BR+,4557,LLC,"24 months"
00407,Atlanta,GA,30301,1BR,1407,Individual,"24 months"
00408,Washington,DC,,4BR+,7223,Corporate,"6 months"
00410,Houston,TX,77001,Studio,1188,Corporate,"12 months"
00411,"Los Angeles",CA,90036,Studio,1020,"Property Management Co","12 months"
00412,"Los Angeles",CA,90025,2BR,2412,Corporate,"12 months"
00414,Phoenix,AZ,850XX,2BR,3364,LLC,"18 months"
00415,Denver,CO,80201,Studio,1017,Corporate,"18 months"
00416,Miami,FL,33130,4BR+,3961,LLC,"12 months"
00417,Nashville,TN,37206,4BR+,7172,"Property Management Co","12 months"
00418,Seattle,WA,98101,2BR,3450,Corporate,"12 months"
00419,Bellevue,WA,98004,Studio,1924,LLC,"24 months"
00420,Washington,DC,20009,4BR+,5656,Corporate,"24 months"
00421,Chicago,IL,60647,2BR,2267,Individual,"6 months"
00422,Arlington,VA,22201,Studio,1070,Corporate,"24 months"
00423,"Fort Lauderdale",FL,33301,4BR+,7461,"Property Management Co","6 months"
00424,Houston,TX,77025,Studio,1377,REIT,"12 months"
00425,Nashville,TN,37201,2BR,1608,Corporate,"12 months"
00426,Scottsdale,AZ,85251,3BR,5450,"Property Management Co","6 months"
00427,Miami,FL,33101,2BR,1670,LLC,"6 months"
00429,"Los Angeles",CA,90036,4BR+,5763,"Property Management Co","18 months"
00430,Tempe,AZ,85281,2BR,2242,"Property Management Co","12 months"
00431,Brooklyn,NY,11201,2BR,3595,LLC,"18 months"
00432,"San Francisco",CA,94102,Studio,2931,REIT,"12 months"
00433,"New York",NY,10002,4BR+,4959,Corporate,"18 months"
00434,Boston,MA,02101,3BR,3675,Individual,"6 months"
00435,Scottsdale,AZ,85251,Studio,1731,Corporate,"12 months"
00436,Denver,CO,80205,3BR,3702,Corporate,"12 months"
00437,Denver,CO,80201,1BR,2735,"Property Management Co","12 months"
00439,Austin,TX,78701,2BR,1942,REIT,"12 months"
00441,"Los Angeles",CA,90025,3BR,5609,Corporate,"12 months"
00442,"New York",NY,10002,2BR,3165,Corporate,"24 months"
00443,Portland,OR,97201,3BR,4741,"Property Management Co","12 months"
00444,Houston,TX,77025,3BR,3001,REIT,"24 months"
00445,Miami,FL,33101,Studio,1649,"Property Management Co","12 months"
00447,"New York",NY,10002,4BR+,4810,"Property Management Co","12 months"
00448,Washington,DC,20009,Studio,2107,,"12 months"
00449,Bellevue,WA,98004,3BR,2241,Individual,"12 months"
00450,Houston,TX,77019,2BR,1720,"Property Management Co","24 months"
00451,"Fort Lauderdale",FL,33301,3BR,5452,Individual,"12 months"
00452,Oakland,CA,94601,studio,4473,Corporate,"12 months"
00453,Oakland,CA,94601,1BR,1990,"Property Management Co","12 months"
00454,Oakland,CA,94601,2BR,2568,Individual,"12 months"
00455,Bellevue,WA,98004,2BR,3879,Individual,"12 months"
00456,Queens,NY,11101,1BR,1120,Corporate,"18 months"
00457,Aurora,CO,80010,3BR,4361,Corporate,"12 months"
00458,Brooklyn,NY,11201,1BR,2977,Individual,"18 months"
00459,Tempe,AZ,85281,1BR,1869,,"18 months"
00460,Queens,NY,11101,2BR,2216,REIT,"6 months"
00461,Arlington,VA,22201,1BR,1999,REIT,"12 months"
00462,Oakland,CA,94601,2BR,2358,"Property Management Co","6 months"
00463,Oakland,CA,94601,2BR,3600,REIT,"12 months"
00464,Cambridge,MA,02139,3BR,5108,Corporate,"12 months"
00465,Cambridge,MA,02139,1BR,1893,"Property Management Co","18 months"
00466,Portland,OR,972XX,2BR,3375,LLC,"12 months"
00467,"New York",NY,10001,3BR,8371,LLC,"24 months"
00468,Houston,TX,77001,3BR,3096,REIT,"12 months"
00469,Aurora,CO,80010,4BR+,5435,REIT,"12 months"
00470,"New York",NY,10002,4BR+,6226,"Property Management Co","12 months"
00471,Brooklyn,NY,11201,Studio,1368,LLC,"24 months"
00472,Chicago,IL,60601,2BR,1626,Individual,"18 months"
00473,Miami,FL,33130,4BR+,4009,Individual,"12 months"
00475,Chicago,IL,60614,2BR,2463,REIT,"12 months"
00476,Oakland,CA,94601,1BR,3176,Individual,"24 months"
00477,Miami,FL,33101,Studio,1156,"Property Management Co","12 months"
00478,Scottsdale,AZ,85251,3BR,3024,"Property Management Co","24 months"
00479,Arlington,VA,22201,4BR+,6880,Individual,"6 months"
00481,Aurora,CO,80010,2BR,1843,Individual,"18 months"
00482,Phoenix,AZ,85001,1BR,1270,Corporate,"18 months"
00483,Phoenix,AZ,85001,Studio,1592,Individual,"18 months"
00484,"San Francisco",CA,94102,Studio,1245,Individual,"12 months"
00485,Houston,TX,77025,3BR,3398,Corporate,"12 months"
00486,"Los Angeles",CA,900XX,2BR,2562,LLC,"12 months"
00487,Houston,TX,77019,3BR,2414,Individual,"24 months"
00488,Brooklyn,NY,11201,Studio,2899,REIT,"18 months"
00490,Houston,TX,77019,3BR,5874,Individual,"12 months"
00492,Chicago,IL,60601,Studio,1468,REIT,"12 months"
00493,Denver,CO,80201,4BR+,8318,Individual,"12 months"
00494,Houston,TX,77001,4BR+,5965,"Property Management Co","12 months"
00495,Atlanta,GA,30308,1BR,1665,Corporate,"12 months"
00496,"Los Angeles",CA,90001,1BR,2867,REIT,"24 months"
00497,Boston,MA,02115,3BR,3384,"Property Management Co","6 months"
00498,Houston,TX,77025,2BR,1797,Corporate,"12 months"
00499,Seattle,WA,98101,1BR,3418,Individual,"6 months"
00500,Scottsdale,AZ,85251,Studio,1556,Corporate,"6 months"
00501,Houston,TX,77025,Studio,1469,LLC,"12 months"
